year,country,eci,eci_norm,population,gdp_pc,gdp,inflation,economic_freedom,gross_fix_cap,trade_openness,fdi,human_capital,private_sec_cred,rule_of_law,fdi_gdp
2014,Poland,0.839266,0.5361242085300657,38011735,26814.5505905445,973566357429.12,0.49955707860417,67,113073326037.21,93.6969246060578,19776000000,3.327214002609253,50.91005,0.840596,0.020312945131158954
2015,Poland,1.10641,0.6809560908013017,37986412,27862.5420361036,1020164418525.45,0.769528695514992,68.6,120005637913.309,95.902903302141,15065000000,3.352443218231201,51.90218,0.8020585,0.014767227445331817
2016,Poland,1.09864,0.6767435922041126,37970087,28728.5710830487,1073913831246.99,0.30876259197737,69.3,110207607866.547,100.352692368863,18321000000,3.378103017807007,52.84633,0.636218,0.017060027971449364
2017,Poland,1.09432,0.6744015080419689,37974826,30143.3290263037,1144687674834.63,1.82910500172827,68.3,114578980532.617,104.524797232405,11762000000,3.404202461242676,51.6862,0.4725602,0.010275291905889723
1996,Romania,0.48008,0.34139183772826515,22619004,12637.9689702089,129726167379.11,44.0022839129308,46.2,19220534184.5915,60.7813693722174,263000000,2.873183488845825,4.248942,-0.0219425,0.0020273473371907485
1997,Romania,0.467421,0.33452877212442755,22553978,12059.8159580382,125449781642.99,135.338399472194,50.8,18944177620.4502,63.205242332383,1215000000,2.8891210556030273,8.082415,1.068723,0.009685150377205881
1998,Romania,0.491754,0.3477208864571694,22507344,11839.5043488461,124786017897.726,48.1345197660485,54.4,18056875811.7435,53.838795710082,2031000000,2.905147075653076,8.734025,-0.1056836,0.016275861945242918
1999,Romania,0.464376,0.33287792807958316,22472040,11813.4396143244,125764617171.877,49.5224630026867,50.1,17711642550.9235,57.9736750449875,1041000000,2.92126202583313,8.39856,1.258094,0.008277367859175454
2000,Romania,0.474142,0.33817255630354065,22442971,12119.8773119662,131298437866.935,43.1807891473077,52.1,18748057935.4268,48.5213253850786,1037000000,2.9374661445617676,6.3921,-0.2049206,0.0078980376068979
2001,Romania,0.441733,0.3206020457454577,22131970,12931.5059443135,144333277362.683,37.9563154083491,50,20725355831.6376,51.9285910211481,1157000000,2.9506096839904785,6.71383,1.035779,0.008016169390324807
2002,Romania,0.459015,0.3299714666922561,21730496,13921.5251552939,155640626375.007,22.7142690496692,48.7,22239882831.3975,53.7102478139376,1144000000,2.9638121128082275,8.327307,-0.2601019,0.007350265972610512
2003,Romania,0.373828,0.2837874103217601,21574326,14350.5815269961,162923413411.478,23.1532554708977,50.6,24521311596.0596,56.1795270470243,1844000000,2.9770731925964355,10.90212,-0.2089897,0.011318201364605646
2004,Romania,0.320218,0.2547227964484896,21451748,15937.628585249,192683212748.558,15.4565958769332,50,26876894622.4706,60.6264786669408,6443000000,2.990394115447998,13.38066,-0.1746931,0.03343830481178344
2005,Romania,0.42384,0.31090137169146725,21319685,16784.9535831296,204714321191.562,12.0069901176313,52.1,29974512242.7752,59.3605494490555,6498650462.86646,3.003774404525757,16.69505,-0.1382283,0.031744972335302955
